Plasmid	IS Name	Start	End	Identity	E-value
cVA32	IS903B(IS5)	1746722	1747778	99%	0
cVA32	ISEic2(IS256)	1748481	1748617	92%	4.00E-39
cVA32	IS2(IS3)	1760797	1761964	95%	0
cVA32	ISKox1(IS66)	1761968	1764490	99%	0
cVA32	ISKpn74(IS5)	2052036	2053091	99%	0
cVA32	ISKqu3(IS110)	2308236	2308396	90%	4.00E-45
cVA32	ISKpn26(IS5)	2328457	2329652	99%	0
cVA32	ISEcp1(IS1380)	2625211	2626719	100%	0
cVA32	IS1400(IS3)	4661994	4663185	84%	0
cVA32	ISKpn18(IS3)	4698905	4700207	100%	0
cVA32	IS1R(IS1)	4969790	4970557	99%	0
cVA564	ISPlge3(IS3)	197674	199075	92%	0
cVA564	ISKpn28(IS481)	200921	202016	100%	0
cVA564	ISSen4(IS3)	1846418	1847543	97%	0
cVA564	IS2(IS3)	1852517	1853067	80%	5.00E-51
cVA564	ISEc33(IS630)	1876633	1877785	99%	0
cVA564	IS5075(IS110)	3741272	3742598	99%	0
cVA564	ISCfr13(IS110)	4275077	4275240	90%	2.00E-44
cVA564	ISKpn54(IS3)	4748535	4749728	94%	0
cVA564	IS1R(IS1)	4753976	4754743	100%	0
cVA564	ISKpn26(IS5)	4790194	4791389	99%	0
cVA564	ISEc52(IS3)	4933995	4934415	94%	2.00E-176
cVA564	IS1F(IS1)	4934480	4935247	99%	0
cVA564	IS21(IS21)	4955021	4955187	88%	4.00E-39
cVA564	ISKPn11(IS3)	4968242	4969686	99%	0
cVA569	ISKpn54(IS3)	771828	772015	90%	2.00E-56
cVA569	ISKpn26(IS5)	793088	794283	99%	0
cVA569	IS150(IS3)	1133264	1134706	99%	0
cVA569	ISKpn18(IS3)	1209563	1210865	100%	0
cVA569	IS1A(IS1)	1247769	1248536	99%	0
cVA569	ISKpn1(IS3)	1666230	1667674	99%	0
cVA569	ISEcl1(IS3)	1860443	1861778	98%	0
cVA569	IS100kyp(IS21)	1871115	1873064	99%	0
cVA569	IS1S(IS1)	1953125	1953892	99%	0
cVA569	ISKqu3(IS110)	2412475	2412635	90%	4.00E-45
cVA569	IS903(IS5)	2610816	2611872	97%	0
cVA569	ISEcp1(IS1380)	2733394	2735049	100%	0
cVA569	ISKpn21(ISNCY)	2748035	2750312	99%	0
cVA569	IS26(IS6)	3182293	3183112	100%	0
cVA569	IS15DIV(IS6)	3183260	3184078	99%	0
cVA569	ISKpn28(IS481)	4169905	4171000	100%	0
cVA569	IS1400(IS3)	4915362	4916553	84%	0
cVA591	IS1R(IS1)	126455	127222	100%	0
cVA591	ISKpn1(IS3)	220257	221701	99%	0
cVA591	ISEhe4(IS3)	1854269	1854685	85%	1.00E-85
cVA591	IS1F(IS1)	2175203	2175970	99%	0
cVA591	ISKqu3(IS110)	2329668	2329828	90%	4.00E-45
cVA591	ISKpn54(IS3)	2960833	2962042	99%	0
cVA591	ISKpn28(IS481)	3236957	3238052	100%	0
cVA591	ISKpn2(IS110)	3563134	3564435	97%	0
cVA591	ISSaen1(IS110)	3563134	3564435	96%	0
cVA591	ISEc27(IS3)	3570014	3570846	90%	0
cVA591	ISKim2(IS3)	3570848	3571286	92%	0
cVA591	ISKpn26(IS5)	3576811	3578006	99%	0
cVA591	ISEc15(IS3)	3580739	3581969	94%	0
cVA591	ISEcp1(IS1380)	4200125	4201780	100%	0
cVA591	Tn2(Tn3)	4203096	4205341	100%	0
cVA591	ISKpn11(IS3)	4206162	4207295	86%	0
cVA591	TnAs1(Tn3)	4212588	4213094	100%	0
cVA591	Tn5403(Tn3)	4213093	4216756	99%	0
cVA591	IS3000(Tn3)	4216757	4218636	99%	0
cVA591	IS26(IS6)	4220504	4221323	100%	0
cVA591	TnAs3(Tn3)	4221603	4222831	99%	0
cVA591	IS6100(IS6)	4224017	4224896	100%	0
cVA591	ISEch12(IS3)	4739276	4740483	90%	0
cVA681	ISKpn18(IS3)	2962	4264	100%	0
cVA681	IS1400(IS3)	568635	569826	84%	0
cVA681	IS1R(IS1)	1762482	1763249	99%	0
cVA681	ISEcp1(IS1380)	2535340	2536848	100%	0
cVA681	ISKqu3(IS110)	2854431	2854591	90%	4.00E-45
cVA681	ISKpn74(IS5)	3109736	3110791	99%	0
cVA681	ISKox1(IS66)	3398337	3400859	99%	0
cVA681	IS2(IS3)	3400863	3402030	95%	0
cVA681	ISEic2(IS256)	3415700	3415836	92%	4.00E-39
cVA681	IS903B(IS5)	3416539	3417595	99%	0
cVA681	IS1X2(IS1)	3417818	3418577	96%	0
cVA681	ISEc33(IS630)	3429609	3430761	89%	0
cVA681	ISKpn1(IS3)	3535967	3537411	99%	0
cVA681	ISKpn54(IS3)	4416858	4417045	90%	2.00E-56
cVA681	ISEal1(IS3)	4446791	4448034	86%	0
cVA681	IS1X4(IS1)	4452131	4452898	98%	0
cVA681	ISEc24(IS3)	4455953	4456405	87%	1.00E-109
cVA681	ISEc14(IS3)	4458676	4459421	97%	0
cVA681	ISEhe3(IS3)	4473621	4474349	95%	0
cVA681	ISKpn26(IS5)	4592216	4593411	99%	0
cVA681	ISKpn28(IS481)	4996900	4997995	100%	0
cVA684	IS4321R(IS110)	331200	332526	99%	0
cVA684	ISEch12(IS3)	4528920	4530130	91%	0
cVA684	ISEc14(IS3)	4535295	4536513	92%	0
cVA684	ISKpn54(IS3)	4540302	4541511	99%	0
cVA833	ISPlge3(IS3)	197674	199075	92%	0
cVA833	ISKpn28(IS481)	200921	202016	100%	0
cVA833	IS5075(IS110)	318958	320284	99%	0
cVA833	ISSen4(IS3)	1669130	1670254	97%	0
cVA833	IS2(IS3)	1675228	1675778	80%	4.00E-51
cVA833	ISCfr13(IS110)	4086095	4086258	90%	2.00E-44
cVA833	ISKpn54(IS3)	4559548	4560741	94%	0
cVA833	IS1R(IS1)	4564989	4565756	100%	0
cVA833	ISKpn26(IS5)	4601207	4602402	99%	0
cVA833	ISEc33(IS630)	4722221	4723373	99%	0
cVA833	IS911(IS3)	4746163	4746583	99%	0
cVA833	IS1F(IS1)	4746648	4747415	99%	0
cVA833	IS21(IS21)	4767189	4767355	88%	4.00E-39
cVA833	ISKpn1(IS3)	4780410	4781854	99%	0
pVA04-196	IS903B(IS5)	4886	5942	98%	0
pVA04-196	IS1F(IS1)	13329	14096	99%	0
pVA04-196	IS2(IS3)	14096	14193	99%	9.00E-45
pVA04-196	ISEcl1(IS3)	14195	15530	98%	0
pVA04-196	ISKpn25(ISL3)	16030	16721	99%	0
pVA04-196	IS26(IS6)	51967	52786	100%	0
pVA04-196	ISRor3(ISNCY)	53709	53857	93%	1.00E-53
pVA04-196	IS5075(IS110)	57514	58840	99%	0
pVA04-196	Tn5393(Tn3)	60117	61894	99%	0
pVA04-196	Tn2(Tn3)	62362	64390	100%	0
pVA04-196	ISKpn11(IS3)	65211	66344	86%	0
pVA04-196	TnAs1(Tn3)	71637	73186	100%	0
pVA04-196	Tn5403(Tn3)	76749	80412	99%	0
pVA04-196	IS3000(Tn3)	80413	82292	99%	0
pVA04-196	ISEcp1(IS1380)	87447	89102	100%	0
pVA04-196	TnAs3(Tn3)	90027	91754	100%	0
pVA04-196	TnEc4(Tn3)	100685	101114	99%	0
pVA04-196	IS15DIV(IS6)	105260	106079	99%	0
pVA04-196	IS6100(IS6)	108772	109651	100%	0
pVA04-196	ISKpn28(IS481)	161978	163073	100%	0
pVA04-196	ISplge3(IS3)	167897	168558	92%	0
pVA04-196	IS1R(IS1)	187501	188268	100%	0
pVA04-196	ISSen4(IS3)	190696	191834	98%	0
pVA04-46	Tn2(Tn3)	26893	27472	100%	0
pVA04-46	IS3000(Tn3)	27473	30708	99%	0
pVA04-46	ISAba125(IS30)	30798	31815	99%	0
pVA04-46	IS5(IS5)	31816	33010	99%	0
pVA04-46	IS26(IS6)	36178	36997	100%	0
pVA04-46	ISKox3(ISL3)	37612	38927	100%	0
pVA04-58	Tn5403(Tn3)	1	2897	99%	0
pVA04-58	ISKpn60(IS110)	4420	4902	100%	0
pVA04-58	ISEc24(IS3)	4903	5818	87%	0
pVA04-58	IS1X3(IS1)	17853	18621	100%	0
pVA04-58	IS903B(IS5)	20457	21513	95%	0
pVA04-58	ISAba52(IS6)	25181	25365	84%	2.00E-30
pVA04-58	ISAba43(ISL3)	27506	27754	84%	6.00E-40
pVA04-58	IS26(IS6)	40934	41753	100%	0
pVA04-58	TnAs3(Tn3)	46634	47957	100%	0
pVA04-58	IS15DIV(IS6)	53022	53840	99%	0
pVA04-58	Tn5394(Tn3)	53842	56185	99%	0
pVA04-6	IS1133 (IS3)	5509	5569	100%	1.00E-30
pVA126-12	IS1133(IS3)	3657	3724	100	2E-30
pVA126-175	IS903B(IS5)	4886	5942	98	0
pVA126-175	ISEcl1(IS3)	14195	15530	98	0
pVA126-175	ISKpn25(ISL3)	16030	16721	99	0
pVA126-175	IS26(IS6)	51967	52786	100	0
pVA126-175	ISRor2(ISNCY)	53751	53881	89	2E-33
pVA126-175	IS5075(IS110)	57514	58840	99	0
pVA126-175	Tn5393(Tn3)	60117	61894	99	0
pVA126-175	Tn2(Tn3)	62362	63882	100	0
pVA126-175	ISEcp1(IS1380)	67170	68825	100	0
pVA126-175	IS15(IS6)	69097	69749	100	0
pVA126-175	TnAs3(Tn3)	69750	71477	100	0
pVA126-175	TnAs1(Tn3)	70106	71290	83	0
pVA126-175	TnEc4(Tn3)	80408	80837	99	0
pVA126-175	IS15DIV(IS6)	84983	85802	99	0
pVA126-175	IS6100(IS6)	88495	89374	100	0
pVA126-175	ISKpn28(IS481)	141701	142796	100	0
pVA126-175	ISPlge3(IS3)	147620	148281	92	0
pVA126-175	IS1R(IS1)	167224	167991	100	0
pVA126-175	ISSen4(IS3)	170419	171557	98	0
pVA126-339	-	-	-	-	-
pVA126-42	Tn5393(Tn3)	2188	4531	99	0
pVA126-42	TnAs3(Tn3)	10416	11739	100	0
pVA126-42	IS26(IS26)	16620	17439	100	0
pVA126-42	IS903B(IS5)	21040	22096	95	0
pVA126-42	IS102(IS5)	21040	22096	94	0
pVA126-42	IS1X3(IS1)	23770	24538	100	0
pVA126-42	ISEc15(IS3)	36574	37489	99	0
pVA126-42	ISKpn60(IS110)	37490	37972	100	0
pVA126-42	IS1X2(IS1)	38964	39035	100	3E-32
pVA126-68	Tn3(Tn3)	1	358	97	4E-147
pVA126-68	IS3000(Tn3)	359	3594	99	0
pVA126-68	ISAba125(IS30)	3684	4701	99	0
pVA126-68	IS5(IS5)	4702	5896	99	0
pVA126-68	ISAba125(IS30)	5897	5969	100	1E-32
pVA126-68	IS26(IS6)	9064	9883	100	0
pVA126-68	ISKpn11(IS3)	14356	15489	86	0
pVA126-68	Tn2(Tn3)	16310	16825	100	0
pVA126-68	IS15DIV(IS6)	16825	17644	99	0
pVA126-68	IS3000(Tn3)	19513	21392	99	0
pVA126-68	Tn5403(Tn3)	21393	25056	99	0
pVA126-68	TnAs1(Tn3)	25055	25797	100	0
pVA126-68	TnAs1(Tn3)	29484	31033	100	0
pVA126-68	IS26(IS6)	31034	31853	100	0
pVA126-68	ISKox3(ISL3)	32468	33783	100	0
pVA172-67	TnAs3(Tn3)	225	1973	100%	0
pVA172-67	IS1X3(IS1)	4902	5667	93%	0
pVA172-67	IS26(IS6)	59197	60016	100%	0
pVA172-67	Tn2(Tn3)	60017	62014	99%	0
pVA172-67	TNn5393(Tn3)	62482	64259	99%	0
pVA172-67	IS5075(IS110)	65536	66547	99%	0
pVA172-90	IS26(IS6)	12912	13731	100%	0
pVA172-90	ISEc63(Tn3)	14524	18268	84%	0
pVA172-90	Tn2(Tn3)	18457	19173	99%	0
pVA172-90	ISKpn6(IS1182)	20211	20691	100%	0
pVA172-90	IS6100(IS6)	37351	38230	100%	0
pVA172-90	TnAs3(Tn3)	38569	40603	100%	0
pVA172-90	IS1X3(IS1)	41653	42421	100%	0
pVA172-90	ISEc15(IS3)	54457	55372	99%	0
pVA172-90	ISKpn60(IS110)	55373	55855	100%	0
pVA172-90	ISRor7(Tn3)	56919	57271	93%	1.00E-144
pVA172-90	IS903B(IS5)	57882	58009	100%	2.00E-65
pVA172-90	Tn5393(Tn3)	58010	60353	99%	0
pVA172-90	IS15DIV(IS6)	60355	61174	99%	0
pVA32-104	ISRor3(ISNCY)	3449	4479	90%	0
pVA32-104	MITESen1(Tn3)	4542	4797	99%	3.00E-139
pVA32-104	IS5(IS5)	19402	20596	99%	0
pVA32-104	IS1N(IS1)	20610	21375	99%	0
pVA32-104	Tn5403(Tn3)	22830	26493	99%	0
pVA32-104	ISEc63(Tn3)	27573	31110	85%	0
pVA32-104	IS903B(IS5)	32607	33663	99%	0
pVA32-104	ISKpn14(IS1)	39265	40032	100%	0
pVA32-104	ISSen7(ISNCY)	49102	49810	90%	0
pVA32-104	ISCfr3(ISNCY)	49222	49399	93%	2.00E-66
pVA32-104	ISSen10(IS3)	49931	50919	100%	0
pVA32-104	ISKpn60(IS110)	50971	51157	87%	7.00E-35
pVA32-104	ISEhe3(IS3)	52300	52614	96%	7.00E-146
pVA32-200	IS903B(IS5)	4885	5941	98%	0
pVA32-200	IS1F(IS1)	13328	14095	99%	0
pVA32-200	ISEcl1(IS3)	14194	15529	98%	0
pVA32-200	ISKpn25(ISL3)	16029	16720	99%	0
pVA32-200	ISKpn38(IS3)	57636	58843	98%	0
pVA32-200	ISSen9(IS1)	65963	66675	96%	0
pVA32-200	ISKpn26(IS5)	66851	68046	99%	0
pVA32-200	ISThil(IS5)	68480	69064	99%	0
pVA32-200	ISPst3(IS21)	74164	74316	94%	1.00E-56
pVA32-200	ISSba14(Tn3)	75137	76244	83%	0
pVA32-200	IS5075(IS110)	76341	77667	99%	0
pVA32-200	IS26(IS6)	79465	80284	100%	0
pVA32-200	IS15DI(IS6)	87184	88003	100%	0
pVA32-200	ISEcp1(IS1380)	88004	88212	100%	2.00E-113
pVA32-200	Tn2(Tn3)	89528	91773	100%	0
pVA32-200	IS15DIV(IS6)	94781	95599	99%	0
pVA32-200	Tn5403(Tn3)	96931	98931	99%	0
pVA32-200	MITESen1(Tn3)	101279	101532	87%	7.00E-61
pVA32-200	IS15(IS6)	103608	104428	100%	0
pVA32-200	TnAs3(Tn3)	106742	109192	96%	0
pVA32-200	IS6100(IS6)	112388	113267	100%	0
pVA32-200	TnAs1(Tn3)	117320	118869	100%	0
pVA32-200	ISPan1(IS5)	119987	121044	87%	0
pVA32-200	ISKpn74(IS5)	169635	170690	99%	0
pVA32-200	ISKpn28(IS481)	177979	179074	100%	0
pVA32-200	ISRor6(IS200/IS605)	194453	195679	90%	0
pVA32-58	TnAs3(Tn3)	13021	14974	100%	0
pVA32-58	IS6100(IS6)	15313	16192	100%	0
pVA32-58	IS1X2(IS1)	19177	19466	97%	4.00E-143
pVA32-58	ISKpn6(IS1182)	32852	33332	100%	0
pVA32-58	Tn2(Tn3)	34370	35086	99%	0
pVA32-58	Tn3(Tn3)	35085	36009	98%	0
pVA32-7	-	-	-	-	-
pVA32-74	TnAs1(Tn3)	1	3714	100%	0
pVA32-74	ISPa40(Tn3)	142	3714	88%	0
pVA32-74	IS1X3(IS1)	55171	55936	93%	0
pVA32-74	IS5075(IS110)	58887	60213	99%	0
pVA32-74	TnAs3(Tn3)	60213	61940	100%	0
pVA32-74	IS15DIV(IS6)	61941	62759	99%	0
pVA32-74	Tn5393(Tn3)	65048	66825	99%	0
pVA32-74	Tn2(Tn3)	67293	69290	99%	0
pVA32-74	IS26(IS6)	69291	70110	100%%	0
pVA564-179	IS903B(IS5)	4886	5942	98	0
pVA564-179	ISEcl1(IS3)	14195	15530	98	0
pVA564-179	ISKpn25(ISL3)	16030	16721	99	0
pVA564-179	TnEc4(Tn3)	56103	56532	99	0
pVA564-179	ISSen7(ISNCY)	59567	59904	85	5.00E-74
pVA564-179	IS26(IS6)	61234	62053	100	0
pVA564-179	IS15DIV(IS6)	61234	62052	99	0
pVA564-179	IS5075(IS110)	63533	64859	99	0
pVA564-179	Tn5393(Tn3)	66136	67825	99	0
pVA564-179	ISEcp1(IS1380)	68750	70405	100	0
pVA564-179	ISKPn11(IS3)	74787	75920	86	0
pVA564-179	TnAs3(Tn3)	81492	82720	99	0
pVA564-179	IS6100(IS6)	83906	84785	100	0
pVA564-179	IS15(IS6)	88107	88732	99	0
pVA564-179	Tn2(Tn3)	88733	91377	100	0
pVA564-179	ISKpn28(IS481)	145960	147055	100	0
pVA564-179	ISPlge3(IS3)	151879	152540	92	0
pVA564-179	IS1A(IS1)	172325	173086	99	0
pVA564-179	ISSen4(IS3)	173902	175040	98	0
pVA564-33	IS1R(IS1)	11137	11904	100	0
pVA564-37	ISEc15(IS3)	1097	2012	99	0
pVA564-37	ISKpn60(IS110)	2013	2495	100	0
pVA564-37	IS1X2(IS1)	3487	3558	100	2.00E-32
pVA564-37	Tn5393(Tn3)	4650	6993	99	0
pVA564-37	IS15(IS6)	7161	7813	100	0
pVA564-37	TnAs3(Tn3)	12878	14201	100	0
pVA564-37	ISAba43(ISL3)	17235	17483	84	4.00E-40
pVA564-37	IS26(IS6)	19082	19901	100	0
pVA564-37	IS903B(IS5)	23445	24319	96	0
pVA564-37	IS1X3(IS1)	25438	26206	100	0
pVA564-63	TnAs1(Tn3)	36662	40398	100	0
pVA564-63	ISAba52(IS6)	41429	41613	84	2.00E-30
pVA564-63	IS1006(IS6)	42169	42425	82	4.00E-25
pVA564-63	IS1X3(IS1)	47184	47949	93	0
pVA569-35	Tn5393(Tn3)	1	2344	99%	0
pVA569-35	Tn5403(Tn3)	2982	6645	99%	0
pVA569-35	ISRor7(Tn3)	6752	7104	93%	0
pVA569-35	ISKpn60(IS110)	8168	8650	100%	0
pVA569-35	ISEc15(IS3)	8651	9566	99%	0
pVA569-35	IS1X3(IS1)	21602	22370	100%	0
pVA569-35	IS903B(IS5)	24216	25272	95%	0
pVA569-35	IS26(IS6)	28873	29692	100%	0
pVA569-35	ISAba43(ISL3)	31291	31539	84%	0
pVA569-35	TnAs3(Tn3)	33757	34576	99%	0
pVA569-6	TnAs3(Tn3)	2314	3556	100%	0
pVA569-7	-	-	-	-	-
pVA569-78	IS903(IS5)	3268	4324	97%	0
pVA569-78	IS2(IS3)	6557	7085	97%	0
pVA569-78	IS100X(IS21)	10717	12666	97%	0
pVA569-78	ISEc22(IS66)	12671	13999	94%	0
pVA569-78	IS26(IS6)	14000	14819	100%	0
pVA569-78	IS6100(IS6)	18052	18931	100%	0
pVA569-78	TnAs3(Tn3)	24029	25753	99%	0
pVA569-78	IS15DIV(IS6)	25755	26573	99%	0
pVA569-78	ISVsa5(IS4)	30100	31108	100%	0
pVA569-78	IS15(IS6)	31108	31928	100%	0
pVA569-78	Tn2(Tn3)	31929	33114	100%	0
pVA569-78	ISEc76(IS110)	38854	40221	99%	0
pVA569-78	ISEc23(IS66)	42520	43393	93%	0
pVA569-78	IS100kyp(IS21)	53486	55435	99%	0
pVA569-78	IS1A(IS1)	75967	76734	99%	0
pVA591-160	ISAba52(IS6)	4089	4273	85	3.00E-32
pVA591-160	ISPa122(IS66)	6379	6645	82	2.00E-33
pVA591-160	ISEc62(IS21)	33414	33889	96	0
pVA591-160	ISKpn49(IS66)	44513	46950	97	0
pVA591-160	IS1R(IS1)	47412	48179	100	0
pVA591-160	ISEc36(IS3)	51981	52402	94	4.00E-179
pVA591-160	IS26(IS6)	52403	53222	100	0
pVA591-160	ISThi1(IS5)	71638	72222	99	0
pVA591-160	ISKpn26(IS5)	72656	73851	99	0
pVA591-160	ISKpn38(IS3)	81859	83066	98	0
pVA591-160	ISKpn25(ISL3)	122782	123473	99	0
pVA591-160	ISEcl1(IS3)	123973	125308	98	0
pVA591-160	IS903B(IS5)	133561	134617	98	0
pVA591-160	ISKpn28(IS481)	142489	143584	100	0
pVA591-160	ISSen6(IS200/IS605)	154685	155328	86	2.00E-156
pVA591-46	ISKox3(ISL3)	9409	10724	100	0
pVA591-46	ISKpn66(ISL3)	10287	10724	82	7.00E-67
pVA591-46	IS26(IS6)	11339	12158	100	0
pVA591-46	IS5(IS5)	15326	16520	99	0
pVA591-46	ISAba125(IS30)	16521	17538	99	0
pVA591-46	ISC1041(IS30)	17220	17530	96	2.00E-129
pVA591-46	IS3000(Tn3)	17628	20863	99	0
pVA591-46	Tn2(Tn3)	20864	21443	100	0
pVA591-7	Tn5403(Tn3)	1	2881	99	0
pVA591-9	Tn5403(Tn3)	352	4015	99	0
pVA681-14	ISKpn18(IS3)	5335	6637	100%	0
pVA681-36	IS26(IS6)	15636	16455	100%	0
pVA681-5	ISKpn26(IS5)	919	2114	99%	0
pVA681-58	TnAs3(Tn3)	13028	14981	100%	0
pVA681-58	IS6100(IS6)	15320	16199	100%	0
pVA681-58	IS1X2(IS1)	19184	19473	97%	4.00E-143
pVA681-58	ISKpn6(IS1182)	32859	33339	100%	0
pVA681-58	Tn2(Tn3)	34377	35093	99%	0
pVA681-58	ISEc63(Tn3)	35282	39026	84%	0
pVA684-146	IS903(IS5)	3134	4190	97	0
pVA684-146	IS4(IS4)	33359	33643	86	2.00E-63
pVA684-146	ISEc62(IS21)	46917	47023	93	6.00E-36
pVA684-146	ISSgsp1(IS66)	55121	55748	90	0
pVA684-146	IS5075(IS110)	56063	57389	99	0
pVA684-146	IS1A(IS1)	64989	65734	98	0
pVA684-146	ISKqu3(IS110)	75005	76428	99	0
pVA684-2	-	-	-	-	-
pVA684-388	ISKqu3(IS110)	28813	30103	95	0
pVA684-388	IS1S(IS1)	38262	39028	99	0
pVA684-388	ISPpu12(ISL3)	59379	59462	100	2.00E-38
pVA684-388	ISEc52(IS3)	80957	81178	85	1.00E-39
pVA684-388	ISSpu2(IS630)	97097	97544	99	0
pVA684-388	ISKpn54(IS3)	100902	102111	98	0
pVA684-388	ISEhe3(IS3)	107946	109161	92	0
pVA684-388	ISPa38(Tn3)	187581	190418	99	0
pVA684-388	ISShes11(Tn3)	190239	190418	90	8.00E-53
pVA684-388	Tn5403(Tn3)	194448	194877	100	0
pVA684-388	IS15(IS6)	199481	199655	99	2.00E-90
pVA684-388	ISVsa3(IS91)	206280	207256	100	0
pVA684-388	ISSen8(IS21)	212034	213489	87	0
pVA684-388	IS100kyp(IS21)	212035	213485	99	0
pVA684-388	ISKpn38(IS3)	220010	221510	99	0
pVA684-388	IS903B(IS5)	242461	243517	99	0
pVA684-388	ISKpn34(IS3)	261036	261508	99	0
pVA684-388	ISSen3(IS21)	261508	261748	98	1.00E-122
pVA684-388	IS5075(IS110)	267717	269043	99	0
pVA684-388	IS26(IS6)	278857	279676	100	0
pVA684-388	IS5D(IS5)	290045	290280	100	3.00E-129
pVA684-388	ISEc36(IS3)	298694	300009	90	0
pVA684-388	ISKpn26(IS5)	306689	307884	99	0
pVA684-388	ISPan1(IS5)	317389	318445	88	0
pVA684-388	ISKpn41(IS200/IS605)	364744	366165	98	0
pVA684-49	ISAba125(IS30)	1	1016	99	0
pVA684-49	IS3000(Tn3)	1106	4341	99	0
pVA684-49	Tn2(Tn3)	4342	4921	100	0
pVA684-49	ISKox3(ISL3)	41410	42725	100	0
pVA684-49	IS26(IS6)	43340	44159	100	0
pVA684-49	IS5(IS5)	47327	48521	99	0
pVA684-6	ISKpn34(IS3)	651	1854	89	0
pVA684-8	IS1X2(IS1)	3936	4694	98	0
pVA833-165	ISSbo1(IS91)	5124	6832	96%	0
pVA833-165	IS15DIV(IS6)	19669	20488	99%	0
pVA833-165	IS26(IS6)	20912	21731	100%	0
pVA833-165	ISVsa3(IS91)	24010	24986	100%	0
pVA833-165	Tn5393(Tn3)	30348	32125	99%	0
pVA833-165	IS5(IS5)	59543	60737	99%	0
pVA833-165	ISEcp1(IS1380)	60738	60889	100%	2.00E-79
pVA833-165	ISCro1(IS66)	63201	65891	98%	0
pVA833-165	ISEhe3(IS3)	96265	97493	96%	0
pVA833-165	IS5075(IS110)	112347	113673	99%	0
pVA833-165	TnAs2(Tn3)	113673	116039	85%	0
pVA833-165	ISStma11(ISL3)	120961	121943	81%	1.00E-133
pVA833-165	IS4321R(IS110)	123891	125217	99%	0
pVA833-165	ISAba125(IS30)	144453	144712	100%	7.00E-144
pVA833-165	IS3000(Tn3)	144712	147947	99%	0
pVA833-176	IS903B(IS5)	4886	5942	98%	0
pVA833-176	IS1F(IS1)	13329	14096	99%	0
pVA833-176	ISEcl1(IS3)	14195	15530	98%	0
pVA833-176	ISKpn25(ISL3)	16030	16721	99%	0
pVA833-176	TnEc4(Tn3)	55631	56060	99%	0
pVA833-176	ISAba52(IS6)	56142	56326	84%	7.00E-30
pVA833-176	IS1X3(IS1)	61859	62624	93%	0
pVA833-176	IS5075(IS110)	65575	66901	99%	0
pVA833-176	IS4321R(IS110)	65575	66901	93%	0
pVA833-176	TnAs3(Tn3)	66901	68628	99%	0
pVA833-176	IS26(IS6)	68629	69448	100%	0
pVA833-176	ISAba43(ISL3)	71047	71295	84%	2.00E-39
pVA833-176	Tn5393(Tn3)	75953	78296	99%	0
